id,sel_interval,period,step,vol_btc,vol_usd,bal_btc,bal_usd,old_ord,max_usage,margin,per,current_price,start_sum,total_sum,bal_margin,duration
2016_52*w*step1oldord1margin0.015per30,2016_52*w*,1440,1,0.01404,12.50,0.28071,250.00,1,70,0.015,30,966.30,521.25,522.04,0.15,0:00:31.733397
2017_01*w*step3oldord1margin0.005per30,2017_01*w*,1440,3,0.01253,12.50,0.25056,250.00,1,70,0.005,30,909.75,477.95,511.54,6.57,0:00:44.379849
2017_02*w*step1oldord1margin0.005per30,2017_02*w*,1440,1,0.01374,12.50,0.27479,250.00,1,70,0.005,30,821.86,475.84,495.59,3.99,0:01:00.739007
2017_03*w*step1oldord1margin0.05per30,2017_03*w*,1440,1,0.01521,12.50,0.30412,250.00,1,70,0.050,30,923.76,530.93,533.38,0.46,0:01:12.471810
2017_04*w*step1oldord5margin0.005per30,2017_04*w*,1440,1,0.01353,12.50,0.27062,250.00,5,70,0.005,30,912.01,496.81,502.26,1.09,0:01:15.029546
2017_05*w*step7oldord1margin0.05per30,2017_05*w*,1440,7,0.01369,12.50,0.27386,250.00,1,70,0.050,30,1011.07,526.89,526.25,-0.12,0:00:49.632763
2017_06*w*step1oldord5margin0.05per30,2017_06*w*,1440,1,0.01237,12.50,0.24740,250.00,5,70,0.050,30,1000.73,497.58,511.62,2.74,0:01:23.729526
2017_07*w*step1oldord1margin0.025per30,2017_07*w*,1440,1,0.01249,12.50,0.24982,250.00,1,70,0.025,30,1051.80,512.76,516.77,0.78,0:01:01.389880
2017_08*w*step1oldord1margin0.05per30,2017_08*w*,1440,1,0.01188,12.50,0.23769,250.00,1,70,0.050,30,1179.05,530.25,535.67,1.01,0:01:16.296632
2017_09*w*step3oldord1margin0.02per30,2017_09*w*,1440,3,0.01059,12.50,0.21173,250.00,1,70,0.020,30,1273.00,519.53,525.94,1.22,0:00:53.185222
2017_10*w*step1oldord5margin0.05per30,2017_10*w*,1440,1,0.00983,12.50,0.19662,250.00,5,70,0.050,30,1226.62,491.18,517.46,5.08,0:01:02.305733
2017_11*w*step5oldord1margin0.005per30,2017_11*w*,1440,5,0.01019,12.50,0.20385,250.00,1,70,0.005,30,1017.97,457.51,452.26,-1.16,0:00:54.114517
2017_12*w*step1oldord5margin0.05per30,2017_12*w*,1440,1,0.01234,12.50,0.24682,250.00,5,70,0.050,30,960.00,486.95,500.27,2.66,0:01:24.971863
2017_13*w*step7oldord1margin0.005per30,2017_13*w*,1440,7,0.01303,12.50,0.26067,250.00,1,70,0.005,30,1078.01,531.00,531.61,0.11,0:00:43.310828
2017_14*w*step1oldord1margin0.02per30,2017_14*w*,1440,1,0.01160,12.50,0.23208,250.00,1,70,0.020,30,1206.20,529.93,532.55,0.49,0:01:04.134839
2017_15*w*step7oldord1margin0.02per30,2017_15*w*,1440,7,0.01037,12.50,0.20733,250.00,1,70,0.020,30,1162.31,490.98,503.19,2.43,0:00:41.962310
2017_16*w*step1oldord1margin0.025per30,2017_16*w*,1440,1,0.01071,12.50,0.21429,250.00,1,70,0.025,30,1241.99,516.15,517.54,0.27,0:01:18.932951
2017_17*w*step1oldord1margin0.05per30,2017_17*w*,1440,1,0.01006,12.50,0.20129,250.00,1,70,0.050,30,1350.21,521.78,521.80,0.00,0:01:13.205724
2017_18*w*step1oldord1margin0.02per30,2017_18*w*,1440,1,0.00925,12.50,0.18493,250.00,1,70,0.020,30,1554.01,537.38,541.08,0.68,0:01:15.515544
2017_19*w*step3oldord5margin0.01per30,2017_19*w*,1440,3,0.00803,12.50,0.16053,250.00,5,70,0.010,30,1784.00,536.39,550.17,2.50,0:01:04.746708
2017_20*w*step3oldord1margin0.025per30,2017_20*w*,1440,3,0.00701,12.50,0.14026,250.00,1,70,0.025,30,2017.55,532.98,536.45,0.65,0:00:50.627540
2017_21*w*step1oldord5margin0.05per30,2017_21*w*,1440,1,0.00619,12.50,0.12378,250.00,5,70,0.050,30,2178.81,519.69,571.00,8.99,0:01:27.780933
2017_22*w*step1oldord1margin0.02per30,2017_22*w*,1440,1,0.00575,12.50,0.11491,250.00,1,70,0.020,30,2530.27,540.75,545.26,0.83,0:01:09.977019
2017_23*w*step1oldord1margin0.05per30,2017_23*w*,1440,1,0.00494,12.50,0.09876,250.00,1,70,0.050,30,2954.22,541.76,551.64,1.79,0:01:13.414204
2017_24*w*step7oldord5margin0.005per30,2017_24*w*,1440,7,0.00423,12.50,0.08462,250.00,5,70,0.005,30,2516.98,462.99,468.22,1.12,0:00:43.884643
2017_25*w*step1oldord5margin0.025per30,2017_25*w*,1440,1,0.00496,12.50,0.09916,250.00,5,70,0.025,30,2502.03,498.10,511.61,2.64,0:01:12.267919
2017_26*w*step1oldord5margin0.01per30,2017_26*w*,1440,1,0.00499,12.50,0.09980,250.00,5,70,0.010,30,2504.37,499.94,522.97,4.40,0:00:58.510597
2017_27*w*step1oldord1margin0.01per30,2017_27*w*,1440,1,0.00498,12.50,0.09969,250.00,1,70,0.010,30,2502.28,499.45,516.15,3.24,0:01:08.099633
2017_28*w*step7oldord1margin0.05per30,2017_28*w*,1440,7,0.00499,12.50,0.09984,250.00,1,70,0.050,30,1917.63,441.46,429.77,-2.72,0:00:38.266841
2017_29*w*step5oldord1margin0.025per30,2017_29*w*,1440,5,0.00652,12.50,0.13037,250.00,1,70,0.025,30,2749.02,608.39,589.39,-3.22,0:00:53.946564
2017_30*w*step1oldord5margin0.005per30,2017_30*w*,1440,1,0.00454,12.50,0.09083,250.00,5,70,0.005,30,2742.37,499.09,524.16,4.78,0:01:06.533934
2017_31*w*step1oldord5margin0.015per30,2017_31*w*,1440,1,0.00456,12.50,0.09114,250.00,5,70,0.015,30,3222.75,543.72,553.62,1.79,0:01:19.898792
2017_32*w*step1oldord1margin0.05per30,2017_32*w*,1440,1,0.00389,12.50,0.07772,250.00,1,70,0.050,30,4053.87,565.07,568.35,0.58,0:01:09.590137
2017_33*w*step1oldord5margin0.005per30,2017_33*w*,1440,1,0.00308,12.50,0.06154,250.00,5,70,0.005,30,4058.68,499.77,546.38,8.53,0:00:57.678694
2017_34*w*step1oldord1margin0.05per30,2017_34*w*,1440,1,0.00309,12.50,0.06174,250.00,1,70,0.050,30,4337.68,517.81,539.34,3.99,0:01:02.108537
2017_35*w*step1oldord1margin0.05per30,2017_35*w*,1440,1,0.00289,12.50,0.05771,250.00,1,70,0.050,30,4606.26,515.83,530.11,2.69,0:01:23.962487
